;initialIndex;finalIndex;cv;shapiro;ad;normality;bestDistFit;runs;IQR;;;
178;6697;7268;0,660991404;3,67E-17;3,70E-24;FALSE;gamma;1,18E-88;30,06652403;;;
127;6699;7271;0,66122868;3,18E-17;3,70E-24;FALSE;lnorm;7,53E-89;30,06443977;;;
126;6697;7270;0,662130912;2,74E-17;3,70E-24;FALSE;lnorm;4,82E-89;30,05949068;;;
179;6699;7269;0,660274218;4,24E-17;3,70E-24;FALSE;gamma;1,84E-88;30,05264759;;;
124;6693;7268;0,658757456;4,28E-17;3,70E-24;FALSE;gamma;8,21E-89;30,04464388;;;
177;6695;7267;0,65953706;4,30E-17;3,70E-24;FALSE;lnorm;3,82E-88;30,03664017;;;
183;6707;7273;0,664920517;2,19E-17;3,70E-24;FALSE;lnorm;4,61E-89;30,02880001;;;
129;6703;7273;0,662569446;2,58E-17;3,70E-24;FALSE;lnorm;1,14E-87;30,01592922;;;
125;6695;7269;0,660830447;3,20E-17;3,70E-24;FALSE;lnorm;1,57E-88;30,01592922;;;
182;6705;7272;0,663492935;2,64E-17;3,70E-24;FALSE;lnorm;8,58E-88;29,99810934;;;
186;6713;7276;0,6695338;1,10E-17;3,70E-24;FALSE;lnorm;3,21E-92;29,99364829;;;
185;6711;7275;0,667745407;1,45E-17;3,70E-24;FALSE;lnorm;7,11E-91;29,98903847;;;
184;6709;7274;0,666500156;1,76E-17;3,70E-24;FALSE;lnorm;2,40E-90;29,97787905;;;
131;6707;7275;0,665113701;1,79E-17;3,70E-24;FALSE;lnorm;1,88E-89;29,96741867;;;
133;6711;7277;0,668230814;1,14E-17;3,70E-24;FALSE;lnorm;7,51E-93;29,96671963;;;
130;6705;7274;0,664199921;2,03E-17;3,70E-24;FALSE;lnorm;3,52E-88;29,96063375;;;
123;6691;7267;0,656959109;5,41E-17;3,70E-24;FALSE;gamma;1,47E-87;29,96038628;;;
132;6709;7276;0,666561144;1,47E-17;3,70E-24;FALSE;lnorm;9,77E-91;29,95556021;;;
176;6693;7266;0,657479122;5,74E-17;3,70E-24;FALSE;gamma;2,00E-88;29,95230627;;;
134;6713;7278;0,670254338;8,41E-18;3,70E-24;FALSE;lnorm;1,30E-92;29,94811296;;;
188;6717;7278;0,672929659;6,75E-18;3,70E-24;FALSE;lnorm;1,17E-91;29,93916059;;;
175;6691;7265;0,655811267;7,28E-17;3,70E-24;FALSE;gamma;1,18E-85;29,91033983;;;
136;6717;7280;0,674280546;5,08E-18;3,70E-24;FALSE;lnorm;4,74E-92;29,90062714;;;
122;6689;7266;0,655086849;7,13E-17;3,70E-24;FALSE;gamma;4,68E-87;29,88654065;;;
174;6689;7264;0,653941179;9,59E-17;3,70E-24;FALSE;gamma;3,70E-85;29,87884831;;;
187;6715;7277;0,671001193;9,11E-18;3,70E-24;FALSE;lnorm;6,10E-92;29,87481833;;;
173;6687;7263;0,652839883;1,06E-16;3,70E-24;FALSE;gamma;4,40E-86;29,83768654;;;
121;6687;7265;0,654162774;7,92E-17;3,70E-24;FALSE;gamma;4,78E-85;29,83497286;;;
135;6715;7279;0,672046548;6,90E-18;3,70E-24;FALSE;lnorm;2,47E-92;29,83362675;;;
189;6719;7279;0,675034643;5,30E-18;3,70E-24;FALSE;lnorm;5,58E-93;29,83273125;;;
137;6719;7281;0,675872112;4,11E-18;3,70E-24;FALSE;lnorm;2,05E-93;29,82118988;;;
172;6685;7262;0,653218714;1,07E-16;3,70E-24;FALSE;gamma;3,96E-84;29,81108189;;;
120;6685;7264;0,654591042;8,03E-17;3,70E-24;FALSE;gamma;5,15E-86;29,80193734;;;
171;6683;7261;0,651347617;1,42E-16;3,70E-24;FALSE;gamma;4,30E-85;29,75287104;;;
119;6683;7263;0,652581451;1,06E-16;3,70E-24;FALSE;gamma;4,54E-84;29,73654366;;;
118;6681;7262;0,651724275;1,17E-16;3,70E-24;FALSE;gamma;7,24E-83;29,72947025;;;
170;6681;7260;0,650516953;1,58E-16;3,70E-24;FALSE;gamma;7,04E-84;29,71310115;;;
117;6679;7261;0,650749013;1,27E-16;3,70E-24;FALSE;gamma;2,18E-82;29,69079065;;;
169;6679;7259;0,649257439;1,69E-16;3,70E-24;FALSE;gamma;6,47E-82;29,6530056;;;
116;6677;7260;0,649761678;1,34E-16;3,70E-24;FALSE;gamma;5,78E-84;29,6408236;;;
151;6643;7241;0,623791728;4,29E-15;3,70E-24;FALSE;weibull;1,32E-79;29,50306749;;;
86;5244;5807;0,709698559;2,69E-25;3,70E-24;FALSE;lnorm;7,71E-105;29,49222922;;;
190;6721;7280;0,676250978;4,51E-18;3,70E-24;FALSE;lnorm;9,67E-93;29,46200037;;;
114;6673;7258;0,645270807;2,18E-16;3,70E-24;FALSE;gamma;8,96E-81;29,45842314;;;
115;6675;7259;0,647385764;1,83E-16;3,70E-24;FALSE;gamma;4,71E-82;29,44203186;;;
168;6677;7258;0,647812337;1,69E-16;3,70E-24;FALSE;lnorm;4,19E-82;29,4304738;;;
109;6663;7253;0,64053344;4,10E-16;3,70E-24;FALSE;gamma;2,12E-80;29,40656042;;;
167;6675;7257;0,645123952;2,18E-16;3,70E-24;FALSE;gamma;4,12E-80;29,39688587;;;
162;6665;7252;0,63967709;4,64E-16;3,70E-24;FALSE;gamma;9,72E-80;29,38590837;;;
110;6665;7254;0,641214066;3,51E-16;3,70E-24;FALSE;gamma;1,43E-81;29,37495184;;;
161;6663;7251;0,638568767;5,14E-16;3,70E-24;FALSE;gamma;4,98E-80;29,3731823;;;
166;6673;7256;0,643245093;2,69E-16;3,70E-24;FALSE;gamma;2,12E-80;29,36516547;;;
108;6661;7252;0,638184889;5,71E-16;3,70E-24;FALSE;gamma;1,09E-80;29,34145188;;;
165;6671;7255;0,641730877;3,19E-16;3,70E-24;FALSE;gamma;6,96E-80;29,34104061;;;
101;6647;7245;0,625299837;1,84E-15;3,70E-24;FALSE;weibull;8,78E-80;29,33971167;;;
111;6667;7255;0,642561486;3,02E-16;3,70E-24;FALSE;gamma;2,19E-81;29,31933784;;;
153;6647;7243;0,623976035;2,49E-15;3,70E-24;FALSE;weibull;2,54E-79;29,31744099;;;
113;6671;7257;0,643274489;2,41E-16;3,70E-24;FALSE;gamma;2,96E-80;29,31715441;;;
154;6649;7244;0,626109737;1,82E-15;3,70E-24;FALSE;weibull;3,92E-79;29,31547141;;;
152;6645;7242;0,621903029;3,35E-15;3,70E-24;FALSE;weibull;1,35E-79;29,29377484;;;
163;6667;7253;0,641425919;4,05E-16;3,70E-24;FALSE;gamma;5,83E-81;29,29157162;;;
138;6721;7282;0,676907963;3,49E-18;3,70E-24;FALSE;lnorm;1,29E-91;29,29127932;;;
102;6649;7246;0,627996411;1,48E-15;3,70E-24;FALSE;weibull;6,25E-81;29,28725457;;;
164;6669;7254;0,640198458;4,01E-16;3,70E-24;FALSE;gamma;2,02E-79;29,28234673;;;
112;6669;7256;0,641346235;3,00E-16;3,70E-24;FALSE;gamma;8,60E-80;29,27004766;;;
103;6651;7247;0,629445137;1,30E-15;3,70E-24;FALSE;weibull;1,17E-80;29,19448185;;;
104;6653;7248;0,63165111;9,85E-16;3,70E-24;FALSE;weibull;2,22E-80;29,19348311;;;
