"";"initialIndex";"finalIndex";"shapiro";"ad";"normality";"trend";"outliers";"snht";"grubbs";"pettitt";"lanzante";"buishandU";"buishandRange"
"97";"2139";"2731";"1,34454896439514e-17";"1,97631359200286e-16";"FALSE";"increase";"TRUE";"1";"0";"1,44846079108321";"0,409679224106207";"NaN";"NaN"
"98";"2141";"2732";"1,36844751371982e-17";"1,76509060720464e-16";"FALSE";"increase";"TRUE";"0,999333333333333";"0";"1,48312549839546";"0,426785202800855";"NaN";"NaN"
"99";"2143";"2733";"1,31312681078093e-17";"1,17421856903958e-16";"FALSE";"increase";"TRUE";"0,781666666666667";"0";"1,30473617951948";"0,341500279802482";"NaN";"NaN"
"100";"2145";"2734";"8,07792102167281e-18";"9,78340714192097e-17";"FALSE";"increase";"TRUE";"0,996";"0";"1,26941603103076";"0,325770588305627";"NaN";"NaN"
"101";"2147";"2735";"8,4025755074413e-18";"9,61359463704942e-17";"FALSE";"increase";"TRUE";"0,997";"0";"1,37936989299061";"0,373672575354345";"NaN";"NaN"
"102";"2149";"2736";"9,12524013374936e-18";"1,21733446148041e-16";"FALSE";"increase";"TRUE";"0,999";"0";"1,38340460745723";"0,374850350871649";"NaN";"NaN"
"103";"2151";"2737";"1,00926387469675e-17";"1,78134735173554e-16";"FALSE";"increase";"TRUE";"0,997333333333333";"0";"1,41399342820924";"0,388687208291903";"NaN";"NaN"
"104";"2153";"2738";"1,03332382733515e-17";"1,53479863423944e-16";"FALSE";"increase";"TRUE";"0,722666666666667";"0";"1,47336029549816";"0,40337373687992";"NaN";"NaN"
"105";"2155";"2739";"7,46105974737883e-18";"5,74968765524029e-17";"FALSE";"increase";"TRUE";"0,990333333333333";"0";"1,32829846134864";"0,347474019262756";"NaN";"NaN"
"106";"2157";"2740";"5,19518628416451e-18";"1,66303205305854e-17";"FALSE";"increase";"TRUE";"0,989333333333333";"0";"1,31455394832512";"0,340617996531103";"NaN";"NaN"
"107";"2159";"2741";"5,66902145224912e-18";"2,22126397896833e-17";"FALSE";"increase";"TRUE";"0,614333333333333";"0";"1,2983334495558";"0,332749616301183";"NaN";"NaN"
"108";"2161";"2742";"5,1722069738503e-18";"6,69897421210099e-17";"FALSE";"increase";"TRUE";"0,826666666666667";"0";"1,40625385548901";"0,381014864503006";"NaN";"NaN"
"109";"2163";"2743";"3,87231655856489e-18";"2,47809981362345e-17";"FALSE";"increase";"TRUE";"0,994";"0";"1,18864593073578";"0,286092828807398";"NaN";"NaN"
"110";"2165";"2744";"3,59636157660161e-18";"1,90905885077186e-17";"FALSE";"increase";"TRUE";"0,996";"0";"1,24359255041917";"0,307146113620515";"NaN";"NaN"
"111";"2167";"2745";"2,5512725699109e-18";"6,87574122187252e-18";"FALSE";"increase";"TRUE";"0,996";"0";"1,21605741455137";"0,295099546155843";"NaN";"NaN"
"112";"2169";"2746";"2,51173974359148e-18";"5,31049426143073e-18";"FALSE";"increase";"TRUE";"0,952333333333333";"0";"1,10084226606535";"0,250466201085362";"NaN";"NaN"
"113";"2171";"2747";"2,74891763785994e-18";"7,05948377468942e-18";"FALSE";"increase";"TRUE";"0,448";"0";"1,13817094985648";"0,263188754867486";"NaN";"NaN"
"114";"2173";"2748";"1,65547302434425e-18";"1,06605758905177e-17";"FALSE";"increase";"TRUE";"0,998";"0";"1,16488843141454";"0,272267227516155";"NaN";"NaN"
"115";"2175";"2749";"1,16116315832917e-09";"5,52719292813783e-15";"FALSE";"none";"TRUE";"0";"0,000670534197810824";"2,87830403052491e-14";"1,71447792051248e-20";"NaN";"NaN"
"116";"2177";"2750";"1,78557318865263e-09";"1,47220728756851e-14";"FALSE";"none";"TRUE";"0";"0,00069212580346556";"1,19402116696005e-13";"8,39567855690755e-20";"NaN";"NaN"
"117";"2179";"2751";"2,8729340873357e-09";"3,8255070023102e-14";"FALSE";"none";"TRUE";"0";"0,000727082598376838";"4,22106607244513e-13";"3,36675732966004e-19";"NaN";"NaN"
"118";"2181";"2752";"7,07857663614595e-09";"1,75915297067461e-13";"FALSE";"none";"TRUE";"0";"0,000774557109120444";"1,86900222827667e-12";"1,88898392804858e-18";"NaN";"NaN"
"119";"2183";"2753";"1,25629659390741e-08";"5,91491196091351e-13";"FALSE";"none";"TRUE";"0";"0,00084026821793648";"4,90825109638841e-12";"5,19240594436391e-18";"NaN";"NaN"
"120";"2185";"2754";"1,76014421672197e-08";"1,42450192647752e-12";"FALSE";"none";"TRUE";"0";"0,000869740277531506";"1,58481379838851e-11";"1,94527503237164e-17";"NaN";"NaN"
"121";"6375";"6973";"0,000370088378093522";"0,00695863978561269";"FALSE";"none";"TRUE";"0";"0,000675021454414226";"3,36029574219426e-08";"2,27020181479686e-21";"NaN";"NaN"
"122";"6377";"6974";"0,000473356322455204";"0,00939863554131877";"FALSE";"none";"TRUE";"0";"0,000653764168411675";"2,03581201001849e-08";"1,23855089164875e-21";"NaN";"NaN"
