"";"initialIndex";"finalIndex";"cv";"shapiro";"ad";"normality";"bestDistFit";"runs";"IQR"
"240";"2584";"2819";"0,517288583566598";"8,97001220532915e-09";"1,31023334550394e-13";"FALSE";"lnorm";"2,59296493561455e-36";"17,6802365779876"
"241";"5488";"5737";"0,2419798774159";"1,30772112092847e-06";"3,51111522439165e-10";"FALSE";"lnorm";"9,21666734427941e-33";"6,45954346656803"
"242";"5490";"5738";"0,24221757474159";"1,91356179393189e-06";"8,7115005309738e-10";"FALSE";"lnorm";"5,82787437221365e-32";"6,4991607666016"
"243";"5492";"5739";"0,242596118718925";"2,19520581147624e-06";"1,17486722086685e-09";"FALSE";"lnorm";"1,87427397087646e-32";"6,5231184959412"
"244";"5494";"5740";"0,243066426250713";"1,6354836513217e-06";"5,79878408581719e-10";"FALSE";"lnorm";"3,23616569701013e-32";"6,5470762252808"
"245";"5496";"5741";"0,243619050475724";"1,3133655541828e-06";"3,10250442581723e-10";"FALSE";"lnorm";"3,03681775227401e-31";"6,5710339546204"
"246";"5498";"5742";"0,2444001914076";"8,52222081526864e-07";"9,14161547238957e-11";"FALSE";"lnorm";"6,15311078513223e-31";"6,59499168396"
"247";"5500";"5743";"0,245061846618684";"5,2098646545288e-07";"2,51886912383542e-11";"FALSE";"lnorm";"1,27182108540601e-30";"6,61515283584597"
"248";"5502";"5744";"0,240557837346494";"8,66160802247296e-07";"2,96109552989412e-11";"FALSE";"lnorm";"1,9033672182303e-30";"6,3939838409424"
"249";"5504";"5745";"0,239272926286735";"9,68829806364578e-07";"4,4042314756018e-11";"FALSE";"lnorm";"3,99834001413907e-30";"6,08384847640992"
"250";"5506";"5746";"0,237271658924402";"9,08546209169504e-07";"4,18391444084716e-11";"FALSE";"lnorm";"1,27216856426049e-28";"6,0104255676269"
"251";"5508";"5747";"0,233746761418468";"7,69584441639043e-07";"1,60164816635142e-11";"FALSE";"lnorm";"2,26105226186259e-28";"5,93786501884455"
"252";"5510";"5748";"0,234220016868965";"5,67378444125104e-07";"7,14753807012065e-12";"FALSE";"lnorm";"8,81065340448369e-29";"5,9665522575378"
"253";"5512";"5749";"0,234777942970111";"5,30083406965093e-07";"5,85820200816118e-12";"FALSE";"lnorm";"2,8069909352996e-29";"5,99523949623105"
"254";"5514";"5750";"0,235231720184611";"4,48601618606939e-07";"3,5502712275435e-12";"FALSE";"lnorm";"1,84382220745804e-30";"6,0239267349243"
"255";"5516";"5751";"0,235692393286018";"4,3308868214863e-07";"3,15534197894151e-12";"FALSE";"lnorm";"2,76236794342183e-30";"6,0441529750824"
"256";"3982";"4231";"0,31433655694478";"0,000831389974502484";"0,00112158468198639";"FALSE";"weibull";"1,80318371581318e-32";"10,0503282546997"
"257";"3984";"4232";"0,311454680793507";"0,000692275289527127";"0,000638746925470503";"FALSE";"weibull";"2,57328224732711e-32";"9,908670425415"
"258";"3986";"4233";"0,309648934487359";"0,000641655722043927";"0,000473054669705703";"FALSE";"weibull";"1,82094416116718e-31";"9,8619813919067"
"259";"3988";"4234";"0,308505432449421";"0,000718004374808754";"0,000451614705161211";"FALSE";"weibull";"1,2617710437072e-30";"9,6355590820312"
"260";"3990";"4235";"0,309249962634822";"0,00107419209463274";"0,0009352948271491";"FALSE";"weibull";"1,8211998879475e-30";"9,57342910766602"
"261";"3992";"4236";"0,31023775912192";"0,00132418559736518";"0,00146205710080293";"FALSE";"weibull";"3,05625068867352e-32";"9,6136817932129"
"262";"3994";"4237";"0,310151566882838";"0,0013557002566385";"0,00139996970079538";"FALSE";"weibull";"1,02591650060756e-32";"9,50511598587038"
"263";"3996";"4238";"0,308173595312581";"0,00121480717794533";"0,00106714997576978";"FALSE";"weibull";"1,61059086521362e-32";"9,4189939498901"
"264";"3998";"4239";"0,308800794775455";"0,00172987724983511";"0,00201363867164657";"FALSE";"weibull";"2,41864953831731e-32";"9,2936220169067"
"265";"4000";"4240";"0,309513386530408";"0,00192534414722548";"0,00259052024361488";"FALSE";"weibull";"1,76290376811685e-31";"9,3119564056396"
"266";"4002";"4241";"0,309720062672418";"0,0023237734442349";"0,00345281269354921";"FALSE";"weibull";"2,77694368355208e-31";"9,29486894607543"
"267";"4004";"4242";"0,310351614713998";"0,00236293190559007";"0,00362090370879807";"FALSE";"weibull";"4,37903786109856e-31";"9,30724811553955"
"268";"4006";"4243";"0,310921924024604";"0,00222060051275643";"0,00331455288240425";"FALSE";"weibull";"1,55913289602581e-31";"9,31962728500368"
"269";"4008";"4244";"0,311493187113514";"0,00196047340957622";"0,00269856662595676";"FALSE";"weibull";"5,48383135792136e-32";"9,3320064544678"
"270";"4010";"4245";"0,312200359830224";"0,00192451908998133";"0,00269492715526752";"FALSE";"weibull";"8,66782800906336e-32";"9,3705530166626"
"271";"3968";"4217";"0,308219147432955";"8,53279272311151e-05";"1,21322611826915e-05";"FALSE";"weibull";"5,04434068576735e-31";"9,75286769866945"
"272";"3970";"4218";"0,309031781218645";"0,000112373008773203";"2,20376799578163e-05";"FALSE";"weibull";"7,6876236279806e-31";"9,6127681732178"
"273";"3972";"4219";"0,309805541626507";"0,00010834197179366";"2,23443958563776e-05";"FALSE";"weibull";"1,30502974318273e-30";"9,96149396896362"
"274";"3974";"4220";"0,310541809914727";"0,00010205753368484";"1,97408808615862e-05";"FALSE";"weibull";"9,88736595739577e-30";"10,0531740188598"
"275";"3976";"4221";"0,311630389154413";"0,000124044783696533";"2,96168293779382e-05";"FALSE";"weibull";"3,37360023075728e-30";"10,4463992118835"
"276";"3978";"4222";"0,312544659142922";"0,000193531784593012";"7,45836461130628e-05";"FALSE";"weibull";"4,6144617787423e-30";"10,4154109954834"
"277";"3980";"4223";"0,313619152451666";"0,000281406816421478";"0,000163026411768571";"FALSE";"weibull";"3,4541167001363e-31";"10,2237148284912"
"278";"3982";"4224";"0,314315593773341";"0,000387537780813711";"0,000264421666651419";"FALSE";"weibull";"5,30696508016174e-31";"10,0955505371094"
"279";"3984";"4225";"0,31239976746672";"0,000330113301098317";"0,000156950204598017";"FALSE";"weibull";"9,90581531759067e-31";"10,0543227195739"
"280";"3986";"4226";"0,311242254623094";"0,000338057047358171";"0,000140740352531168";"FALSE";"weibull";"1,37523049466775e-30";"9,9103031158447"
"281";"3988";"4227";"0,311754166080037";"0,000306295112849329";"9,37361794303323e-05";"FALSE";"weibull";"1,93445312139929e-30";"9,91208934783932"
"282";"3990";"4228";"0,312770038325898";"0,000472828402647167";"0,000212641725592121";"FALSE";"weibull";"2,98228130569662e-30";"9,69027137756345"
"283";"3992";"4229";"0,313737354214691";"0,000585172758826508";"0,000343441596394578";"FALSE";"weibull";"9,39289004681209e-31";"9,70344352722168"
"284";"3994";"4230";"0,313788748660228";"0,000618834630677015";"0,000347963698721676";"FALSE";"weibull";"1,51355203466406e-32";"9,6839771270752"
"285";"3996";"4231";"0,311855793447953";"0,000563972370510554";"0,000274008159039647";"FALSE";"weibull";"2,22069646241375e-32";"9,5736923217774"
"286";"1670";"1919";"0,361842337552947";"1,72875875064334e-05";"1,52292044383746e-06";"FALSE";"weibull";"1,19733084921373e-42";"25,1274671554565"
"287";"1672";"1920";"0,364277430725449";"1,41880922980165e-05";"1,04834907682233e-06";"FALSE";"weibull";"1,99234503480178e-42";"25,3215312957763"
"288";"1674";"1921";"0,365043259227179";"1,76999056081284e-05";"1,61144316367636e-06";"FALSE";"weibull";"3,34406615226108e-42";"25,3361420631408"
"289";"1676";"1922";"0,366910394704835";"1,83204967245003e-05";"1,67934658725619e-06";"FALSE";"weibull";"5,53540280930656e-42";"25,498007774353"
"290";"1678";"1923";"0,368990252208468";"1,24863984412233e-05";"7,06127555362255e-07";"FALSE";"weibull";"9,4036391763378e-42";"25,7872428894043"
"291";"1680";"1924";"0,371703104041899";"7,44724136116441e-06";"2,33590880998116e-07";"FALSE";"weibull";"2,789985218502e-42";"26,1632957458496"
"292";"1682";"1925";"0,374739944368747";"4,62883121328203e-06";"9,00776420545805e-08";"FALSE";"weibull";"1,32621729348222e-43";"26,2566499710082"
"293";"1684";"1926";"0,376776491904078";"3,5418298923226e-06";"6,01622960932367e-08";"FALSE";"weibull";"2,09335727127593e-43";"26,3729705810547"
"294";"1686";"1927";"0,377979577890364";"3,0535853328376e-06";"5,12805535431479e-08";"FALSE";"weibull";"3,39988135194064e-43";"26,518253326416"
"295";"1688";"1928";"0,379810532199807";"2,52039734703785e-06";"4,23387855358186e-08";"FALSE";"weibull";"5,52531301505879e-43";"26,7098197937011"
"296";"1690";"1929";"0,380423424685746";"2,3393618045664e-06";"4,12986171442309e-08";"FALSE";"weibull";"8,98522538422128e-43";"26,8538289070129"
"297";"1692";"1930";"0,380408792497652";"2,34785297433575e-06";"4,37636904550503e-08";"FALSE";"weibull";"1,49226688745555e-42";"26,9978380203247"
"298";"1694";"1931";"0,380331034352475";"2,35749408686299e-06";"4,62622175343092e-08";"FALSE";"weibull";"2,42614131574357e-42";"26,8842339515686"
