time,hygrometer,moisture,air_humidity,tempC,tempF,error,annotation
21-08-17T03:04:35,307,70,62.00,26.80,80.24,0,None
21-08-17T03:06:35,308,70,62.00,26.80,80.24,0,None
21-08-17T03:08:35,308,70,61.00,26.80,80.24,0,None
21-08-17T03:10:35,307,70,61.00,26.80,80.24,0,None
21-08-17T03:12:35,306,71,62.00,26.70,80.06,0,None
21-08-17T03:14:35,305,71,62.00,26.80,80.24,0,None
21-08-17T03:16:35,304,71,62.00,26.80,80.24,0,None
21-08-17T03:18:35,304,71,61.00,26.80,80.24,0,None
21-08-17T03:20:35,305,71,61.00,26.80,80.24,0,None
21-08-17T03:22:35,304,71,62.00,26.80,80.24,0,None
21-08-17T03:24:35,305,71,62.00,26.80,80.24,0,None
21-08-17T03:26:36,306,71,61.00,26.80,80.24,0,None
21-08-17T03:28:36,306,71,61.00,26.80,80.24,0,None
21-08-17T03:30:36,304,71,61.00,26.70,80.06,0,None
21-08-17T03:32:36,304,71,61.00,26.70,80.06,0,None
21-08-17T03:34:36,304,71,62.00,26.80,80.24,0,None
21-08-17T03:36:36,305,71,61.00,26.80,80.24,0,None
21-08-17T03:38:36,305,71,61.00,26.80,80.24,0,None
21-08-17T03:40:36,304,71,61.00,26.80,80.24,0,None
21-08-17T03:42:36,305,71,60.00,26.70,80.06,0,None
21-08-17T03:44:36,306,71,60.00,26.60,79.88,0,None
21-08-17T03:46:36,305,71,61.00,26.70,80.06,0,None
21-08-17T03:48:36,305,71,62.00,26.80,80.24,0,None
21-08-17T03:50:36,306,71,61.00,26.80,80.24,0,None
21-08-17T03:52:36,309,70,61.00,26.80,80.24,0,None
21-08-17T03:54:36,308,70,60.00,26.70,80.06,0,None
21-08-17T03:56:36,308,70,61.00,26.70,80.06,0,None
21-08-17T03:58:36,308,70,61.00,26.80,80.24,0,None
21-08-17T04:00:36,308,70,61.00,26.80,80.24,0,None
21-08-17T04:02:36,306,71,60.00,26.70,80.06,0,None
21-08-17T04:04:36,306,71,61.00,26.70,80.06,0,None
21-08-17T04:06:36,306,71,61.00,26.70,80.06,0,None
21-08-17T04:08:36,307,70,61.00,26.80,80.24,0,None
21-08-17T04:10:36,308,70,61.00,26.70,80.06,0,None
21-08-17T04:12:36,308,70,61.00,26.70,80.06,0,None
21-08-17T04:14:36,309,70,61.00,26.70,80.06,0,None
21-08-17T04:16:36,307,70,62.00,26.80,80.24,0,None
21-08-17T04:18:36,309,70,62.00,26.80,80.24,0,None
21-08-17T04:20:36,308,70,61.00,26.80,80.24,0,None
21-08-17T04:22:36,307,70,61.00,26.80,80.24,0,None
21-08-17T04:24:36,307,70,61.00,26.70,80.06,0,None
21-08-17T04:26:36,306,71,61.00,26.70,80.06,0,None
21-08-17T04:28:36,308,70,62.00,26.80,80.24,0,None
21-08-17T04:30:36,307,70,62.00,26.90,80.42,0,None
21-08-17T04:32:36,307,70,62.00,26.80,80.24,0,None
21-08-17T04:34:36,308,70,61.00,26.80,80.24,0,None
21-08-17T04:36:36,308,70,61.00,26.80,80.24,0,None
21-08-17T04:38:36,307,70,61.00,26.80,80.24,0,None
21-08-17T04:40:36,308,70,61.00,26.70,80.06,0,None
21-08-17T04:42:37,309,70,62.00,26.80,80.24,0,None
21-08-17T04:44:37,309,70,62.00,26.90,80.42,0,None
21-08-17T04:46:37,308,70,62.00,26.80,80.24,0,None
21-08-17T04:48:37,308,70,61.00,26.80,80.24,0,None
21-08-17T04:50:37,307,70,61.00,26.70,80.06,0,None
21-08-17T04:52:37,307,70,62.00,26.70,80.06,0,None
21-08-17T04:54:37,308,70,62.00,26.80,80.24,0,None
21-08-17T04:56:37,308,70,61.00,26.80,80.24,0,None
21-08-17T04:58:37,309,70,61.00,26.80,80.24,0,None
21-08-17T05:00:37,309,70,61.00,26.80,80.24,0,None
21-08-17T05:02:37,308,70,61.00,26.80,80.24,0,None
21-08-17T05:04:37,308,70,61.00,26.80,80.24,0,None
21-08-17T05:06:37,308,70,62.00,26.90,80.42,0,None
21-08-17T05:08:37,308,70,61.00,26.90,80.42,0,None
21-08-17T05:10:37,308,70,61.00,26.80,80.24,0,None
21-08-17T05:12:37,309,70,61.00,26.80,80.24,0,None
21-08-17T05:14:37,310,70,60.00,26.80,80.24,0,None
21-08-17T05:16:37,308,70,61.00,26.70,80.06,0,None
21-08-17T05:18:37,307,70,62.00,26.80,80.24,0,None
21-08-17T05:20:37,309,70,62.00,26.90,80.42,0,None
21-08-17T05:22:37,309,70,61.00,26.80,80.24,0,None
21-08-17T05:24:37,309,70,61.00,26.70,80.06,0,None
21-08-17T05:26:37,308,70,61.00,26.70,80.06,0,None
21-08-17T05:28:37,308,70,62.00,26.80,80.24,0,None
21-08-17T05:30:37,308,70,62.00,26.90,80.42,0,None
21-08-17T05:32:37,307,70,61.00,26.80,80.24,0,None
21-08-17T05:34:37,306,71,61.00,26.70,80.06,0,None
21-08-17T05:36:37,306,71,61.00,26.60,79.88,0,None
21-08-17T05:38:37,306,71,62.00,26.70,80.06,0,None
21-08-17T05:40:37,306,71,61.00,26.80,80.24,0,None
21-08-17T05:42:37,306,71,61.00,26.70,80.06,0,None
21-08-17T05:44:37,305,71,61.00,26.70,80.06,0,None
21-08-17T05:46:37,307,70,62.00,26.80,80.24,0,None
21-08-17T05:48:37,307,70,62.00,26.80,80.24,0,None
21-08-17T05:50:37,306,71,61.00,26.80,80.24,0,None
21-08-17T05:52:37,306,71,61.00,26.70,80.06,0,None
21-08-17T05:54:37,305,71,61.00,26.70,80.06,0,None
21-08-17T05:56:37,306,71,61.00,26.70,80.06,0,None
21-08-17T05:58:38,306,71,62.00,26.80,80.24,0,None
21-08-17T06:00:38,308,70,62.00,26.80,80.24,0,None
21-08-17T06:02:38,308,70,61.00,26.70,80.06,0,None
21-08-17T06:04:38,308,70,61.00,26.60,79.88,0,None
21-08-17T06:06:38,308,70,62.00,26.60,79.88,0,None
21-08-17T06:08:38,307,70,62.00,26.80,80.24,0,None
21-08-17T06:10:38,307,70,62.00,26.80,80.24,0,None
21-08-17T06:12:38,307,70,62.00,26.80,80.24,0,None
21-08-17T06:14:38,308,70,61.00,26.60,79.88,0,None
21-08-17T06:16:38,308,70,62.00,26.60,79.88,0,None
21-08-17T06:18:38,309,70,62.00,26.70,80.06,0,None
21-08-17T06:20:38,308,70,62.00,26.80,80.24,0,None
21-08-17T06:22:38,308,70,62.00,26.80,80.24,0,None
21-08-17T06:24:38,308,70,62.00,26.80,80.24,0,None
21-08-17T06:26:38,308,70,61.00,26.70,80.06,0,None
21-08-17T06:28:38,308,70,61.00,26.60,79.88,0,None
21-08-17T06:30:38,308,70,61.00,26.60,79.88,0,None
21-08-17T06:32:38,309,70,61.00,26.70,80.06,0,None
21-08-17T06:34:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:36:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:38:38,307,70,60.00,26.60,79.88,0,None
21-08-17T06:40:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:42:38,307,70,62.00,26.80,80.24,0,None
21-08-17T06:44:38,306,71,61.00,26.80,80.24,0,None
21-08-17T06:46:38,307,70,61.00,26.80,80.24,0,None
21-08-17T06:48:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:50:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:52:38,307,70,61.00,26.70,80.06,0,None
21-08-17T06:54:38,307,70,60.00,26.70,80.06,0,None
21-08-17T06:56:38,307,70,60.00,26.70,80.06,0,None
21-08-17T06:58:38,307,70,61.00,26.60,79.88,0,None
21-08-17T07:00:38,306,71,61.00,26.80,80.24,0,None
21-08-17T07:02:38,307,70,61.00,26.80,80.24,0,None
21-08-17T07:04:38,307,70,61.00,26.70,80.06,0,None
21-08-17T07:06:38,308,70,60.00,26.70,80.06,0,None
21-08-17T07:08:38,308,70,60.00,26.60,79.88,0,None
21-08-17T07:10:38,308,70,61.00,26.60,79.88,0,None
21-08-17T07:12:39,308,70,61.00,26.70,80.06,0,None
21-08-17T07:14:39,307,70,62.00,26.80,80.24,0,None
21-08-17T07:16:39,307,70,61.00,26.70,80.06,0,None
21-08-17T07:18:39,307,70,61.00,26.70,80.06,0,None
21-08-17T07:20:39,307,70,60.00,26.60,79.88,0,None
21-08-17T07:22:39,307,70,60.00,26.60,79.88,0,None
21-08-17T07:24:39,306,71,61.00,26.60,79.88,0,None
21-08-17T07:26:39,306,71,61.00,26.70,80.06,0,None
21-08-17T07:28:39,307,70,61.00,26.80,80.24,0,None
21-08-17T07:30:39,308,70,60.00,26.70,80.06,0,None
21-08-17T07:32:39,308,70,60.00,26.60,79.88,0,None
21-08-17T07:34:39,307,70,60.00,26.50,79.70,0,None
21-08-17T07:36:39,307,70,61.00,26.60,79.88,0,None
21-08-17T07:38:39,308,70,61.00,26.70,80.06,0,None
21-08-17T07:40:39,308,70,61.00,26.80,80.24,0,None
21-08-17T07:42:39,308,70,61.00,26.70,80.06,0,None
21-08-17T07:44:39,306,71,61.00,26.60,79.88,0,None
21-08-17T07:46:39,304,71,63.00,26.60,79.88,0,None
21-08-17T07:48:39,303,71,66.00,26.70,80.06,0,None
21-08-17T07:50:39,303,71,68.00,26.80,80.24,0,None
21-08-17T07:52:39,302,71,68.00,26.80,80.24,0,None
21-08-17T07:54:39,303,71,69.00,26.80,80.24,0,None
21-08-17T07:56:39,303,71,70.00,26.80,80.24,0,None
21-08-17T07:58:39,303,71,71.00,26.80,80.24,0,None
21-08-17T08:00:39,305,71,70.00,26.90,80.42,0,None
21-08-17T08:02:39,304,71,70.00,27.00,80.60,0,None
21-08-17T08:04:39,305,71,70.00,27.10,80.78,0,None
21-08-17T08:06:39,306,71,70.00,27.20,80.96,0,None
21-08-17T08:08:39,305,71,70.00,27.20,80.96,0,None
21-08-17T08:10:39,306,71,70.00,27.20,80.96,0,None
21-08-17T08:12:39,306,71,70.00,27.30,81.14,0,None
21-08-17T08:14:39,306,71,70.00,27.30,81.14,0,None
21-08-17T08:16:39,305,71,70.00,27.20,80.96,0,None
21-08-17T08:18:39,303,71,70.00,27.20,80.96,0,None
21-08-17T08:20:39,304,71,70.00,27.30,81.14,0,None
21-08-17T08:22:39,304,71,70.00,27.30,81.14,0,None
21-08-17T08:24:39,305,71,70.00,27.40,81.32,0,None
21-08-17T08:26:40,306,71,70.00,27.40,81.32,0,None
21-08-17T08:28:40,306,71,70.00,27.40,81.32,0,None
21-08-17T08:30:40,307,70,70.00,27.50,81.50,0,None
21-08-17T08:32:40,307,70,70.00,27.50,81.50,0,None
21-08-17T08:34:40,307,70,70.00,27.50,81.50,0,None
21-08-17T08:36:40,308,70,70.00,27.50,81.50,0,None
21-08-17T08:38:40,309,70,70.00,27.50,81.50,0,None
21-08-17T08:40:40,308,70,70.00,27.60,81.68,0,None
21-08-17T08:42:40,308,70,70.00,27.60,81.68,0,None
21-08-17T08:44:40,307,70,70.00,27.60,81.68,0,None
21-08-17T08:46:40,308,70,70.00,27.60,81.68,0,None
21-08-17T08:48:40,307,70,70.00,27.60,81.68,0,None
21-08-17T08:50:40,308,70,70.00,27.70,81.86,0,None
21-08-17T08:52:40,306,71,70.00,27.70,81.86,0,None
21-08-17T08:54:40,307,70,70.00,27.70,81.86,0,None
21-08-17T08:56:40,306,71,70.00,27.70,81.86,0,None
21-08-17T08:58:40,304,71,70.00,27.70,81.86,0,None
21-08-17T09:00:40,305,71,70.00,27.60,81.68,0,None
21-08-17T09:02:40,304,71,70.00,27.60,81.68,0,None
21-08-17T09:04:40,305,71,70.00,27.70,81.86,0,None
21-08-17T09:06:40,305,71,70.00,27.70,81.86,0,None
21-08-17T09:08:40,305,71,70.00,27.70,81.86,0,None
21-08-17T09:10:40,304,71,70.00,27.70,81.86,0,None
21-08-17T09:12:40,303,71,70.00,27.70,81.86,0,None
21-08-17T09:14:40,303,71,70.00,27.70,81.86,0,None
21-08-17T09:16:40,302,71,70.00,27.70,81.86,0,None
21-08-17T09:18:40,301,71,70.00,27.70,81.86,0,None
21-08-17T09:20:40,301,71,70.00,27.70,81.86,0,None
21-08-17T09:22:40,300,71,70.00,27.70,81.86,0,None
21-08-17T09:24:40,300,71,70.00,27.70,81.86,0,None
21-08-17T09:26:40,300,71,70.00,27.80,82.04,0,None
21-08-17T09:28:40,300,71,70.00,27.90,82.22,0,None
21-08-17T09:30:40,300,71,70.00,27.80,82.04,0,None
21-08-17T09:32:40,300,71,70.00,27.90,82.22,0,None
21-08-17T09:34:40,301,71,71.00,27.90,82.22,0,None
21-08-17T09:36:40,301,71,71.00,27.90,82.22,0,None
21-08-17T09:38:40,301,71,71.00,27.90,82.22,0,None
21-08-17T09:40:40,301,71,72.00,27.90,82.22,0,None
21-08-17T09:42:41,300,71,72.00,27.90,82.22,0,None
21-08-17T09:44:41,301,71,71.00,28.00,82.40,0,None
21-08-17T09:46:41,302,71,73.00,27.90,82.22,0,None
21-08-17T09:48:41,302,71,74.00,27.90,82.22,0,None
21-08-17T09:50:41,304,71,73.00,27.50,81.50,0,None
21-08-17T09:52:41,303,71,72.00,27.10,80.78,0,None
21-08-17T09:54:41,305,71,70.00,26.80,80.24,0,None
21-08-17T09:56:41,304,71,68.00,26.50,79.70,0,None
21-08-17T09:58:41,305,71,66.00,26.40,79.52,0,None
21-08-17T10:00:41,305,71,64.00,26.30,79.34,0,None
